"","Year","age","awwaa","awwaa_kg"
"1","1982",1,26.8006913631249,0.0268006913631249
"2","1983",1,17.650274879692,0.017650274879692
"3","1984",1,16.5224415574195,0.0165224415574195
"4","1985",1,16.3595344229729,0.0163595344229729
"5","1986",1,13.7413511730727,0.0137413511730727
"6","1987",1,27.0379430434799,0.0270379430434799
"7","1988",1,17.8089788311503,0.0178089788311503
"8","1989",1,21.7124258056333,0.0217124258056333
"9","1990",1,18.0043622303008,0.0180043622303008
"10","1991",1,22.957414717273,0.022957414717273
"11","1992",1,17.6761272109757,0.0176761272109757
"12","1993",1,14.754844464554,0.014754844464554
"13","1994",1,18.8463775705302,0.0188463775705302
"14","1995",1,16.1715016150832,0.0161715016150832
"15","1996",1,20.8567904876729,0.0208567904876729
"16","1997",1,17.4624667954372,0.0174624667954372
"17","1998",1,18.1554126095302,0.0181554126095302
"18","1999",1,15.1785651053124,0.0151785651053124
"19","2000",1,13.8270776021035,0.0138270776021035
"20","2001",1,17.0811251434068,0.0170811251434068
"21","2002",1,16.8714324989895,0.0168714324989895
"22","2003",1,26.4946278525221,0.0264946278525221
"23","2004",1,22.7211902454371,0.0227211902454371
"24","2005",1,21.6618755523499,0.0216618755523499
"25","2006",1,10.637072485363,0.010637072485363
"26","2007",1,13.6890341429933,0.0136890341429933
"27","2008",1,14.0144941906687,0.0140144941906687
"28","2009",1,11.6405740637518,0.0116405740637518
"29","2010",1,19.2962718714477,0.0192962718714477
"30","2011",1,16.4207923244073,0.0164207923244073
"31","2012",1,14.731530825604,0.014731530825604
"32","2013",1,17.6147396411024,0.0176147396411024
"33","2014",1,18.8152734607919,0.0188152734607919
"34","2015",1,19.4115602020084,0.0194115602020084
"35","2016",1,23.07063378218,0.02307063378218
"36","2017",1,20.0776801405077,0.0200776801405077
"37","2018",1,22.1956572351835,0.0221956572351835
"38","2019",1,20.2222878921775,0.0202222878921775
"39","1982",2,74.7864397444503,0.0747864397444503
"40","1983",2,92.3099767790253,0.0923099767790253
"41","1984",2,62.3800596329072,0.0623800596329072
"42","1985",2,70.7430941618864,0.0707430941618864
"43","1986",2,65.3922254200494,0.0653922254200494
"44","1987",2,103.086882024193,0.103086882024193
"45","1988",2,78.6412937386645,0.0786412937386645
"46","1989",2,84.3403090926392,0.0843403090926392
"47","1990",2,102.253826002472,0.102253826002472
"48","1991",2,108.614253290516,0.108614253290516
"49","1992",2,96.0575496007674,0.0960575496007674
"50","1993",2,87.0012488943479,0.0870012488943479
"51","1994",2,81.9759890297818,0.0819759890297818
"52","1995",2,57.6830342739107,0.0576830342739107
"53","1996",2,76.5017090645211,0.0765017090645211
"54","1997",2,78.8320641879994,0.0788320641879994
"55","1998",2,69.6200619435251,0.0696200619435251
"56","1999",2,77.9970621234012,0.0779970621234013
"57","2000",2,78.8647057753228,0.0788647057753228
"58","2001",2,77.5222439076681,0.0775222439076681
"59","2002",2,93.2645972158153,0.0932645972158153
"60","2003",2,113.38773502218,0.11338773502218
"61","2004",2,107.495582620704,0.107495582620704
