"","Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1","1982","Stratum_1"," [kg]",8083303.7132454,912113.692112828,0.112839220753048
"2","2","1982","Stratum_1"," [kg]",18720100.6232401,3125288.96997512,0.166948299738049
"3","3","1982","Stratum_1"," [kg]",31457915.4172824,4659989.64919387,0.148134089223018
"4","4","1982","Stratum_1"," [kg]",32059744.9756027,4276131.27623866,0.133380077710935
"5","5","1982","Stratum_1"," [kg]",13386051.786006,2161666.93378712,0.161486521070161
"6","6","1982","Stratum_1"," [kg]",2246448.24559385,303541.882041638,0.135120799082284
"7","7","1982","Stratum_1"," [kg]",1319369.92530196,145827.338495827,0.110528014697963
"8","8","1982","Stratum_1"," [kg]",855084.051460877,92188.8883794135,0.107812662652183
"9","9","1982","Stratum_1"," [kg]",319811.974781555,28467.0550536891,0.0890118485185966
"10","10","1982","Stratum_1"," [kg]",360545.363055844,30585.479783829,0.0848311555710989
"11","11","1982","Stratum_1"," [kg]",161439.2317862,14375.139467317,0.0890436562926321
"12","12","1982","Stratum_1"," [kg]",78913.484019754,7609.515785875,0.0964285873371162
"13","13","1982","Stratum_1"," [kg]",143163.281431725,15253.1161672625,0.106543493657881
"14","14","1982","Stratum_1"," [kg]",21292.5974581629,3051.13414081723,0.143295534836099
"15","15","1982","Stratum_1"," [kg]",263623.506163982,29155.6804537511,0.110595905797626
"16","16","1982","Stratum_1"," [kg]",26.8006913631249,1.92275676976543,0.07174280482969
"17","17","1982","Stratum_1"," [kg]",74.786439744451,4.76125941251209,0.0636647422819102
"18","18","1982","Stratum_1"," [kg]",186.604254884556,10.0464335126155,0.053838180264597
"19","19","1982","Stratum_1"," [kg]",371.183345103401,14.2660557946032,0.0384339868229514
"20","20","1982","Stratum_1"," [kg]",561.869533093683,31.7832935576701,0.0565670350244291
"21","21","1982","Stratum_1"," [kg]",867.02611318325,38.0467884685879,0.0438819406821563
"22","22","1982","Stratum_1"," [kg]",1144.42578230557,37.4389357402105,0.0327141666319208
"23","23","1982","Stratum_1"," [kg]",1314.01264967893,49.8906007712335,0.0379681282242028
"24","24","1982","Stratum_1"," [kg]",1457.0344787861,62.4761572651964,0.0428789834247761
"25","25","1982","Stratum_1"," [kg]",1623.24153137858,87.4151544259935,0.053852216528586
"26","26","1982","Stratum_1"," [kg]",1783.54497981344,109.804425954795,0.0615652687190878
