"","age","Year","LL","ML","LM"
"1","1",1982,26.8006913631249,21.926759484597,21.6725880025218
"2","2",1982,74.7864397444503,72.1519272494335,93.998957269829
"3","3",1982,186.604254884558,170.583682004711,238.737958166022
"4","4",1982,371.183345103408,362.098786500944,434.047065084827
"5","5",1982,561.869533093688,530.523961533516,580.687104245477
"6","6",1982,867.026113183257,851.960759442059,717.539036338501
"7","7",1982,1144.42578230556,1104.70659652458,872.621949530413
"8","8",1982,1314.01264967893,1275.0719343789,1031.25517112628
"9","9",1982,1457.03447878611,1401.15016211077,1186.03865806542
"10","10",1982,1623.24153137857,1551.00913062073,1298.81659985388
"11","11",1982,1783.54497981344,1719.54679931345,1449.53905395185
"12","12",1982,1764.50409749448,1675.59951465669,1547.03470744211
"13","13",1982,2086.55236356275,2037.88227642591,1662.17703720903
"14","14",1982,1760.88469961813,1725.97710741901,1712.28368144426
"15","15",1982,2531.46272084972,2452.81655903893,1893.84036752803
"16","1",1983,17.650274879692,17.6099747852532,17.907086752721
"17","2",1983,92.3099767790253,87.1708737793744,91.4321262705158
"18","3",1983,187.758427043552,187.822960757109,225.240706992072
"19","4",1983,345.586677271613,344.592739025505,410.149213966876
"20","5",1983,491.101128127786,484.226010539569,572.220108280895
"21","6",1983,689.201528035688,676.774667998575,713.044077399301
"22","7",1983,982.516321383685,944.666687817427,885.344718630749
"23","8",1983,1272.23228388666,1247.10967168836,1057.1059649418
"24","9",1983,1478.44340056843,1335.47289888099,1254.43783164008
"25","10",1983,1517.6092936341,1416.70640125516,1338.05716232245
"26","11",1983,1620.25163799477,1506.38758324496,1497.69832141211
"27","12",1983,1611.49657607828,1485.94338069445,1595.61618405579
"28","13",1983,1807.37331663103,1682.15740876529,1742.65332937253
"29","14",1983,1520.29313847476,1476.7480779343,1729.91932412283
"30","15",1983,1926.66837234316,1839.28042229608,1924.441108388
"31","1",1984,16.5224415574195,16.188160208698,19.0484817765097
"32","2",1984,62.3800596329072,55.5270308193088,89.7115610784918
"33","3",1984,197.111607160495,181.515452589121,231.282856345413
"34","4",1984,297.691523106565,313.457622100106,410.379093506566
"35","5",1984,465.52400097483,467.975015776528,567.371280977696
"36","6",1984,602.39017524753,643.762772362241,709.788798507784
"37","7",1984,948.868035060442,997.494634823081,860.089506971698
"38","8",1984,1341.0123363234,1391.18419751313,1001.83380839451
"39","9",1984,1511.81711487628,1456.92797338643,1193.89568839913
"40","10",1984,1695.4114440954,1637.85757383278,1305.51978826932
"41","11",1984,1947.92558614118,1858.76137409168,1469.73282679043
"42","12",1984,1789.49184227557,1709.94318687982,1541.48986303153
"43","13",1984,1858.02266742548,1816.86606110381,1669.57285898934
"44","14",1984,1662.72025802724,1625.58726733747,1707.30714171241
"45","15",1984,2043.42111472775,1981.86559233704,1893.73629519723
"46","1",1985,16.3595344229729,18.0806142048164,16.4246865106867
"47","2",1985,70.7430941618864,76.8970223346789,82.9326629700164
"48","3",1985,191.361336012868,197.462303811267,216.1694372916
"49","4",1985,343.006800752128,361.795797615051,399.101551807719
"50","5",1985,484.95890975188,500.098109703211,538.535846502583
"51","6",1985,758.217951782254,809.299173995569,697.999986392598
"52","7",1985,945.079168940634,996.439259275345,856.086281157489
"53","8",1985,1226.47376672902,1225.52293444608,1017.41215937443
"54","9",1985,1681.73689720929,1556.40861119306,1230.42085151373
"55","10",1985,1628.93176336559,1591.06906738687,1275.3690108434
"56","11",1985,1742.52126734506,1686.56196404225,1430.95852297473
"57","12",1985,2032.96143413181,1878.53530910606,1582.13149989005
"58","13",1985,2127.6196813461,2027.00055419192,1709.34828196248
"59","14",1985,1823.73478131444,1741.35797055992,1750.28953398655
"60","15",1985,2354.47753654438,2293.59196562629,1882.87278646083
"61","1",1986,13.7413511730727,13.4295810846946,18.9827743822134
"62","2",1986,65.3922254200494,67.2225299778911,85.210526384471
