"","age","year","SE","abundance"
"1",1,1982,912113.692112828,8083303.7132454
"2",2,1982,3125288.96997512,18720100.6232401
"3",3,1982,4659989.64919387,31457915.4172824
"4",4,1982,4276131.27623866,32059744.9756027
"5",5,1982,2161666.93378712,13386051.786006
"6",6,1982,303541.882041638,2246448.24559385
"7",7,1982,145827.338495827,1319369.92530196
"8",8,1982,92188.8883794135,855084.051460877
"9",9,1982,28467.0550536891,319811.974781555
"10",10,1982,30585.479783829,360545.363055844
"11",11,1982,14375.139467317,161439.2317862
"12",12,1982,7609.515785875,78913.484019754
"13",13,1982,15253.1161672625,143163.281431725
"14",14,1982,3051.13414081723,21292.5974581629
"15",15,1982,29155.6804537511,263623.506163982
"31",1,1983,4947951.47299602,36838996.0352709
"32",2,1983,1317554.8716626,6684635.94449122
"33",3,1983,3948982.54604324,24117066.7991011
"34",4,1983,3674324.92222151,25979443.9891824
"35",5,1983,7134310.31137051,56537768.7523119
"36",6,1983,1811268.67526282,16829010.9439465
"37",7,1983,269823.058946611,2966833.85113826
"38",8,1983,276225.668065118,3208291.28153137
"39",9,1983,57030.4158157919,664201.625266992
"40",10,1983,85615.5238473252,1018358.53574331
"41",11,1983,50282.4225953748,535572.268967448
"42",12,1983,31707.2707899867,323088.053606944
"43",13,1983,24283.6966937702,229192.062518097
"44",14,1983,8564.07837940066,79208.8681150638
"45",15,1983,77587.4380909094,700878.070935998
"61",1,1984,500243.691673261,3517166.0648511
"62",2,1984,388923.450678254,2196606.93806569
"63",3,1984,1671713.45798925,8470299.07808372
"64",4,1984,1996478.27157032,12839027.0007829
"65",5,1984,2427274.16235668,18094258.2473001
"66",6,1984,3844242.45242594,32875568.8194727
"67",7,1984,643219.656157867,6225642.67921141
"68",8,1984,437742.361797156,4705069.31060139
"69",9,1984,51803.2924801474,625897.732071877
"70",10,1984,87969.2434846778,996113.640415032
"71",11,1984,12487.6274769626,153988.931290748
"72",12,1984,13327.6334723373,155926.040091581
"73",13,1984,26116.5154527184,290256.151470327
"74",14,1984,6514.53410726516,62398.8178299099
"75",15,1984,63386.6502066004,669066.756023069
"91",1,1985,2880258.58555988,29603895.4528169
"92",2,1985,814380.685459717,3979604.68027486
"93",3,1985,6205533.93052731,21903136.0544852
"94",4,1985,1682511.91404638,8642265.39922613
"95",5,1985,5111984.5678198,27367530.7806534
"96",6,1985,2563734.9277811,19914663.8546005
"97",7,1985,1448136.87149755,13937078.1771702
"98",8,1985,316153.852011066,3553721.53771449
"99",9,1985,53331.016960434,709917.3983096
"100",10,1985,119285.441052491,1429312.86375742
"101",11,1985,55736.0764697329,744070.50728186
"102",12,1985,20423.2461771151,255159.684335715
"103",13,1985,20749.0767211169,266036.599972901
"104",14,1985,3290.40030942716,25910.4014213864
"105",15,1985,65068.7465995505,785125.602074769
