"","Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1","1982",0.0268006913631249,0.0747864397444503,0.186604254884558,0.371183345103408,0.561869533093688,0.867026113183257,1.14442578230556,1.31401264967893,1.45703447878611,1.62324153137857,1.78354497981344,1.76450409749448,2.08655236356275,1.76088469961813,2.53146272084973
"2","1983",0.017650274879692,0.0923099767790253,0.187758427043552,0.345586677271613,0.491101128127786,0.689201528035688,0.982516321383685,1.27223228388666,1.47844340056843,1.5176092936341,1.62025163799477,1.61149657607828,1.80737331663103,1.52029313847476,1.92666837234316
"3","1984",0.0165224415574195,0.0623800596329072,0.197111607160495,0.297691523106565,0.46552400097483,0.60239017524753,0.948868035060442,1.3410123363234,1.51181711487628,1.6954114440954,1.94792558614118,1.78949184227557,1.85802266742548,1.66272025802724,2.04342111472775
"4","1985",0.0163595344229729,0.0707430941618864,0.191361336012868,0.343006800752128,0.48495890975188,0.758217951782254,0.945079168940634,1.22647376672902,1.68173689720929,1.62893176336559,1.74252126734506,2.03296143413181,2.1276196813461,1.82373478131444,2.35447753654438
"5","1986",0.0137413511730727,0.0653922254200494,0.154306870019793,0.363729646314313,0.442213296470955,0.654806894663803,0.826940767939764,1.01791416648075,1.26401151083315,1.61255466999297,1.67130021645809,1.98207392551034,1.93771225078125,2.18873931767682,NA
"6","1987",0.0270379430434799,0.103086882024193,0.247387282732197,0.296325168989618,0.420699232826635,0.553492762969519,0.701173951488675,0.854845321714332,0.988101540761801,1.21122284687902,1.51225424102054,1.51694450643643,1.90551026807547,2.16735213723547,2.12453259469583
"7","1988",0.0178089788311503,0.0786412937386645,0.24496008394644,0.329358583267355,0.44404303650855,0.527148789938771,0.661641689722845,0.885356774160845,0.907539903850795,1.09890878486851,1.37437923731528,1.40558286782612,1.90029537387486,1.17107098451951,1.69920356237921
"8","1989",0.0217124258056333,0.0843403090926392,0.172853946129074,0.302203944757799,0.386546978791525,0.519100929850683,0.71250757016467,0.812567333449111,1.08477165915787,1.06510621732625,1.208584487311,1.27447668715639,1.33347723494315,1.29179587284924,1.37169867977203
"9","1990",0.0180043622303008,0.102253826002472,0.148268749139291,0.34966139701782,0.447685867828773,0.537022905774621,0.633008836970231,0.739743138298707,0.907136977573181,1.11314705639147,1.2890584968948,1.30409011198676,1.41349802512851,1.50287368089771,1.64969956784928
"10","1991",0.022957414717273,0.108614253290516,0.202115559757156,0.354709722294457,0.561498451158243,0.639819033284645,0.715786443541816,0.814360689225168,0.987371449960595,1.11288252790238,1.3700673416044,1.39393637860311,1.5484520805134,1.82437745411152,1.82291677285031
"11","1992",0.0176761272109757,0.0960575496007674,0.271702200599754,0.379763374462293,0.509388129496813,0.57552554711878,0.773926681738924,0.919978877358689,0.965872048368847,1.07967692395813,1.25381279801903,1.43873679153969,1.60997033392246,1.64705635799727,1.64613963379169
"12","1993",0.014754844464554,0.0870012488943479,0.27533131880949,0.46724480919863,0.519282434985711,0.640022400963607,0.751781777515,0.893431505155433,1.0968196097238,1.11441931126728,1.3263135835791,1.40851376936704,1.56605261864107,1.66190469685581,1.74632076807072
"13","1994",0.0188463775705302,0.0819759890297818,0.219529767029149,0.386183526906816,0.558437329262201,0.67675310434594,0.727419408219386,1.05918575590107,1.23929279585521,1.1976367921799,1.33410409327186,1.41433927876314,1.54221057676729,1.67179798163873,1.7290098580031
"14","1995",0.0161715016150832,0.0576830342739107,0.150856533956585,0.347597932023135,0.488956233091068,0.655912562956566,0.693889633206299,0.917469889917637,1.08358576624345,1.30452072573344,1.32475025487197,1.38810679189524,1.50527713691755,1.47324580201084,1.71459164246585
